echeance,strike,type,bid,ask,close,mid_option_price,reference_type,spread_pct,quote_age_seconds,flag,reference_spot,reference_type_spot,capture_ts,snapshot_version
20260619,6400.0,C,,,1.1,1.1,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6400.0,P,,,144.0,144.0,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6425.0,C,,,0.7,0.7,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6425.0,P,,,168.6,168.6,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6450.0,C,,,0.5,0.5,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6450.0,P,,,193.4,193.4,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6475.0,C,,,0.3,0.3,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6475.0,P,,,218.3,218.3,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6500.0,C,,,0.3,0.3,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6500.0,P,,,243.2,243.2,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6525.0,C,,,0.2,0.2,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6525.0,P,,,268.2,268.2,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6550.0,C,,,0.2,0.2,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6550.0,P,,,293.1,293.1,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6575.0,C,,,0.2,0.2,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6575.0,P,,,318.1,318.1,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
