echeance,strike,type,T,forward,log_moneyness,iv_calculee,variance_totale,gardee,raison_rejet
20260626,6025.0,P,0.024657534246575342,6294.494497225719,-0.04375788262763349,0.1716,0.0007260795616438356,True,ok
20260626,6050.0,C,0.024657534246575342,6294.494497225719,-0.039617089961602195,0.1971,0.000957906,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6050.0,P,0.024657534246575342,6294.494497225719,-0.039617089961602195,0.1655,0.0006753760273972603,True,ok
20260626,6075.0,C,0.024657534246575342,6294.494497225719,-0.03549337277774012,0.1877,0.0008687167397260275,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6075.0,P,0.024657534246575342,6294.494497225719,-0.03549337277774012,0.1595,0.0006272938356164384,True,ok
20260626,6100.0,C,0.024657534246575342,6294.494497225719,-0.03138659082508669,0.1781,0.0007821273698630138,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6100.0,P,0.024657534246575342,6294.494497225719,-0.03138659082508669,0.1547,0.0005901063287671233,True,ok
20260626,6125.0,C,0.024657534246575342,6294.494497225719,-0.027296605573561564,0.1705,0.000716800684931507,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6125.0,P,0.024657534246575342,6294.494497225719,-0.027296605573561564,0.1494,0.0005503650410958904,True,ok
20260626,6150.0,C,0.024657534246575342,6294.494497225719,-0.023223280185925732,0.1651,0.0006721153150684931,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6150.0,P,0.024657534246575342,6294.494497225719,-0.023223280185925732,0.1447,0.0005162816712328767,True,ok
20260626,6175.0,C,0.024657534246575342,6294.494497225719,-0.01916647949031133,0.1579,0.0006147717534246577,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6175.0,P,0.024657534246575342,6294.494497225719,-0.01916647949031133,0.1406,0.00048743901369863017,True,ok
20260626,6200.0,C,0.024657534246575342,6294.494497225719,-0.015126069953306337,0.1522,0.0005711878356164384,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6200.0,P,0.024657534246575342,6294.494497225719,-0.015126069953306337,0.1366,0.0004600987397260273,True,ok
20260626,6225.0,C,0.024657534246575342,6294.494497225719,-0.011101919653580884,0.1469,0.0005320999726027397,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6225.0,P,0.024657534246575342,6294.494497225719,-0.011101919653580884,0.1325,0.0004328938356164384,True,ok
20260626,6250.0,C,0.024657534246575342,6294.494497225719,-0.007093898256042164,0.1421,0.0004978950410958904,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6250.0,P,0.024657534246575342,6294.494497225719,-0.007093898256042164,0.1287,0.0004084197534246576,True,ok
20260626,6275.0,C,0.024657534246575342,6294.494497225719,-0.003101876986504699,0.1377,0.00046753865753424654,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6275.0,P,0.024657534246575342,6294.494497225719,-0.003101876986504699,0.1251,0.0003858906575342465,True,ok
20260626,6300.0,C,0.024657534246575342,6294.494497225719,0.0008742713931348453,0.1341,0.00044341175342465746,True,ok
20260626,6300.0,P,0.024657534246575342,6294.494497225719,0.0008742713931348453,0.1215,0.0003640006849315068,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6325.0,C,0.024657534246575342,6294.494497225719,0.0048346726092316755,0.1312,0.00042444098630136994,True,ok
20260626,6325.0,P,0.024657534246575342,6294.494497225719,0.0048346726092316755,0.1177,0.0003415879726027397,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6350.0,C,0.024657534246575342,6294.494497225719,0.008779450900248146,0.1284,0.0004065179178082191,True,ok
20260626,6350.0,P,0.024657534246575342,6294.494497225719,0.008779450900248146,0.1141,0.00032101175342465747,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6375.0,C,0.024657534246575342,6294.494497225719,0.012708729040137612,0.126,0.00039146301369863016,True,ok
20260626,6375.0,P,0.024657534246575342,6294.494497225719,0.012708729040137612,0.1097,0.0002967309863013699,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6400.0,C,0.024657534246575342,6294.494497225719,0.016622628361273845,0.1233,0.00037486578082191786,True,ok
20260626,6400.0,P,0.024657534246575342,6294.494497225719,0.016622628361273845,0.1024,0.00025855298630136984,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6425.0,C,0.024657534246575342,6294.494497225719,0.02052126877693129,0.1215,0.0003640006849315068,True,ok
20260626,6425.0,P,0.024657534246575342,6294.494497225719,0.02052126877693129,0.095,0.00022253424657534245,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6450.0,C,0.024657534246575342,6294.494497225719,0.024404768803328817,0.1206,0.00035862805479452053,True,ok
20260626,6450.0,P,0.024657534246575342,6294.494497225719,0.024404768803328817,0.0724,0.00012924887671232879,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6475.0,C,0.024657534246575342,6294.494497225719,0.028273245581249263,0.1196,0.00035270531506849314,True,ok
20260626,6475.0,P,0.024657534246575342,6294.494497225719,0.028273245581249263,,,False,rejet_ITM (on garde l'OTM a ce strike)
